,chart_file_sym,date,race_number,breed_code,distance,is_about_distance,surface_code,is_off_turf,course_type_code,race_type_code,race_conditions,race_name,sex_restriction_code,age_restriction_code,is_restricted_to_statebred,purse,max_claiming_price,min_claiming_price,grade_code,division,num_starters,track_condition_code,weather_code,post_time,temp_rail_dist,is_chute_start,is_track_sealed,race_f1_time,race_f2_time,race_f3_time,race_f4_time,race_f5_time,race_winning_time,wps_combined_pool,run_up_dist,horse_name,age,sex_code,medication_code,equipment_code,weight,claiming_price,earnings,program_number,coupled_type,morning_line,final_tote_odds,is_favorite,is_non_betting,payout_win,payout_place,payout_show,post_position,pos_call_start,pos_call_1,pos_call_2,pos_call_3,pos_call_4,pos_call_stretch,pos_call_finish,official_finish_position,call_1_lengths_behind,call_2_lengths_behind,call_3_lengths_behind,call_4_lengths_behind,stretch_call_lengths_behind,finish_lengths_behind,comment_line,trainer_first_name,trainer_middle_name,trainer_last_name,jockey_first_name,jockey_middle_name,jockey_last_name,apprentice_weight_allowance,owner_full_name,is_claimed,claiming_trainer_first_name,claiming_trainer_middle_name,claiming_trainer_last_name,claiming_owner_full_name,is_scratch,scratch_code,last_race_track,last_race_date,last_race_num,last_race_finish,long_comment,wager_type_1,wager_unit_1,wager_numright_1,wager_payout_1,wager_winningPGM_1,wager_pool_1,wager_type_2,wager_unit_2,wager_numright_2,wager_payout_2,wager_winningPGM_2,wager_pool_2,wager_type_3,wager_unit_3,wager_numright_3,wager_payout_3,wager_winningPGM_3,wager_pool_3,wager_type_4,wager_unit_4,wager_numright_4,wager_payout_4,wager_winningPGM_4,wager_pool_4,wager_type_5,wager_unit_5,wager_numright_5,wager_payout_5,wager_winningPGM_5,wager_pool_5,wager_type_6,wager_unit_6,wager_numright_6,wager_payout_6,wager_winningPGM_6,wager_pool_6,wager_type_7,wager_unit_7,wager_numright_7,wager_payout_7,wager_winningPGM_7,wager_pool_7,wager_type_8,wager_unit_8,wager_numright_8,wager_payout_8,wager_winningPGM_8,wager_pool_8,wager_type_9,wager_unit_9,wager_numright_9,wager_payout_9,wager_winningPGM_9,wager_pool_9,wager_type_10,wager_unit_10,wager_numright_10,wager_payout_10,wager_winningPGM_10,wager_pool_10,wager_type_11,wager_unit_11,wager_numright_11,wager_payout_11,wager_winningPGM_11,wager_pool_11,wager_type_12,wager_unit_12,wager_numright_12,wager_payout_12,wager_winningPGM_12,wager_pool_12,map_sex_restriction_code,map_breed_code,map_weather_code,map_medication_code,map_sex_code,map_grade_code,map_age_restriction_code,map_scratch_code,map_race_type_code,map_surface_code,map_track_condition_code,map_course_type_code,map_equipment_code,month,weekday,year,weeknum,x8name,x8country,x8_track_sym,race_id,runner_id
9,GP,2018-03-02,2,TB,8.0,0,D,0,M,MCL,,,F,03,0,27000,25000.0,25000.0,,,4,FST,C,1:10,,0,0,25.52,50.1,76.12,88.71,,101.81,141178,5.0,Sweet Magic,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,2.0,,41.0,4-6,61136.0,E,2.0,,4.6,6-5,131715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies,Thoroughbred,Clear,No Medication,,Not graded,3 year olds,Vet,Maiden Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,SWEETMAGIC,USA,GPX,GPX_20180302_2,GPX_20180302_2_nan
14,GP,2018-03-02,3,TB,8.0,0,T,0,M,MCL,,,B,4U,0,32000,35000.0,35000.0,,,6,FM,C,1:40,96.0,0,0,23.8,47.68,71.8,,,96.8,234314,130.0,Brilliant Dial,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,77.7,4-1/3/4/6-5,73217.0,D,2.0,,18.4,6-5,46081.0,E,2.0,,78.2,5-7,189902.0,S,0.1,,45.77,5-7-1-3,68245.0,T,1.0,,138.9,5-7-1,114598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Maiden Claiming,Turf,Firm,Main Course,,3,Friday,2018,5,BRILLIANTDIAL,USA,GPX,GPX_20180302_3,GPX_20180302_3_nan
28,GP,2018-03-02,5,TB,5.5,0,D,0,M,CLM,,,F,03,0,26000,16000.0,16000.0,,,7,FST,C,2:41,,0,0,22.59,46.92,60.14,,,67.22,262478,30.0,Optimistic Shot,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,1677.5,5-7-6,72828.0,4,0.5,4.0,3171.3,1/3/4/6-5-7-6,229192.0,5,0.5,4.0,57.75,4-1/3/4/6-5-7-6,348865.0,5,0.5,5.0,44475.5,4-1/3/4/6-5-7-6,348865.0,D,2.0,,401.6,7-6,48926.0,E,2.0,,722.6,6-3,217012.0,S,0.1,,378.13,6-3-1-2,90425.0,S,0.1,,584.0,6-3-1-4,90425.0,T,1.0,,2069.8,6-3-1,129633.0,Z5,1.0,,,6-3-1-2-4,10855.0,,,,,,,,,,,,,Fillies,Thoroughbred,Clear,No Medication,,Not graded,3 year olds,Vet,Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,OPTIMISTICSHOT,USA,GPX,GPX_20180302_5,GPX_20180302_5_nan
44,GP,2018-03-02,7,TB,8.0,0,D,0,M,AOC,NW1       X,,,4U,0,51000,25000.0,25000.0,,,6,FST,C,3:40,,0,0,24.15,47.18,71.74,84.17,,96.89,268298,5.0,Thirst for Victory,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,795.2,6-3-3/5,70748.0,D,2.0,,13.4,3-5,58584.0,E,2.0,,24.2,5-1,225140.0,S,0.1,,7.09,5-1-2-4,77435.0,T,1.0,,37.2,5-1-2,124307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Allowance Optional Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,THIRSTFORVICTORY,USA,GPX,GPX_20180302_7,GPX_20180302_7_nan
51,GP,2018-03-02,8,TB,8.0,0,T,0,M,CLM,NW3     L,,,4U,0,21000,16000.0,16000.0,,,7,FM,C,4:12,24.0,0,0,24.76,49.31,73.41,85.1,,97.02,271315,110.0,Japonski,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,28.4,3-3/5-8,79152.0,D,2.0,,19.0,5-8,37679.0,E,2.0,,14.4,8-3,218969.0,S,0.1,,3.44,8-3-2-1,91118.0,S5,1.0,,113.2,8-3-2-1-5,9793.0,T,1.0,,18.0,8-3-2,137709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Turf,Firm,Main Course,,3,Friday,2018,5,JAPONSKI,USA,GPX,GPX_20180302_8,GPX_20180302_8_nan
0,HOU,2018-03-02,1,TB,8.0,0,D,0,M,CLM,NW2     6M,,B,4U,0,7000,5000.0,5000.0,,,5,FST,C,7:05,,0,0,25.75,50.14,74.95,87.74,,100.83,68444,40.0,Tx Confederaterose,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,E,2.0,,28.2,2-6,38798.0,T,2.0,,59.6,2-6-3,32903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,TXCONFEDERATEROSE,USA,HOU,HOU_20180302_1,HOU_20180302_1_nan
6,HOU,2018-03-02,2,TB,5.5,0,D,0,M,CLM,,,,4U,0,7500,5000.0,5000.0,,,5,FST,C,7:32,,0,0,22.4,45.13,,,,63.92,60798,40.0,Darylslittleengine,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,D,1.0,,19.4,2-2,11387.0,E,2.0,,18.8,2-1,34125.0,T,2.0,,28.4,2-1-6,33091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,DARYLSLITTLEENGINE,USA,HOU,HOU_20180302_2,HOU_20180302_2_nan
7,HOU,2018-03-02,2,TB,5.5,0,D,0,M,CLM,,,,4U,0,7500,5000.0,5000.0,,,5,FST,C,7:32,,0,0,22.4,45.13,,,,63.92,60798,40.0,Its Over Baby,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,1.0,,19.4,2-2,11387.0,E,2.0,,18.8,2-1,34125.0,T,2.0,,28.4,2-1-6,33091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,ITSOVERBABY,USA,HOU,HOU_20180302_2,HOU_20180302_2_nan
8,HOU,2018-03-02,2,TB,5.5,0,D,0,M,CLM,,,,4U,0,7500,5000.0,5000.0,,,5,FST,C,7:32,,0,0,22.4,45.13,,,,63.92,60798,40.0,Mepache Creek,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,1.0,,19.4,2-2,11387.0,E,2.0,,18.8,2-1,34125.0,T,2.0,,28.4,2-1-6,33091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,MEPACHECREEK,USA,HOU,HOU_20180302_2,HOU_20180302_2_nan
13,LA,2018-03-02,4,TB,4.5,0,D,0,M,CLM,NW2     L X,,B,3U,0,7500,2500.0,2500.0,,,4,WF,R,8:23,,0,0,22.14,45.56,,,,52.1,22327,20.0,Glendas Grace,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,33.2,4-1-6,14401.0,4,1.0,4.0,156.0,3-4-1-2/5/6,124701.0,E,1.0,,3.6,6-4,9406.0,S,1.0,,7.7,6-4-1-3,6843.0,T,1.0,,7.3,6-4-1,8104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Rainy,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Wet-Fast,Main Course,,3,Friday,2018,5,GLENDASGRACE,USA,LAX,LAX_20180302_4,LAX_20180302_4_nan
14,LA,2018-03-02,4,TB,4.5,0,D,0,M,CLM,NW2     L X,,B,3U,0,7500,2500.0,2500.0,,,4,WF,R,8:23,,0,0,22.14,45.56,,,,52.1,22327,20.0,Palm Canyon,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,1.0,3.0,33.2,4-1-6,14401.0,4,1.0,4.0,156.0,3-4-1-2/5/6,124701.0,E,1.0,,3.6,6-4,9406.0,S,1.0,,7.7,6-4-1-3,6843.0,T,1.0,,7.3,6-4-1,8104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Rainy,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Wet-Fast,Main Course,,3,Friday,2018,5,PALMCANYON,USA,LAX,LAX_20180302_4,LAX_20180302_4_nan
28,MVR,2018-03-02,5,TB,6.0,0,D,0,M,CLM,C,,,3U,1,17800,7500.0,7500.0,,,7,MY,L,2:40,,0,1,23.61,47.58,60.2,,,73.74,30994,0.0,City Slammer,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,E,2.0,,63.4,4-5,29349.0,S,0.1,,55.93,4-5-7-3,12576.0,T,0.5,,75.25,4-5-7,19215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds & up,Trainer,Claiming,Dirt,Muddy,Main Course,,3,Friday,2018,5,CITYSLAMMER,USA,MVR,MVR_20180302_5,MVR_20180302_5_nan
36,MVR,2018-03-02,6,TB,5.0,0,D,0,M,CLM,NW2     Y,,,3U,0,10100,4000.0,4000.0,,,6,MY,L,3:05,,0,1,22.76,47.9,,,,61.39,32951,35.0,Blues Story,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,0.5,3.0,162.75,5-4-3,5087.0,E,2.0,,23.2,3-1,28796.0,S,0.1,,10.92,3-1-8-2,13546.0,T,0.5,,21.8,3-1-8,20655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Muddy,Main Course,,3,Friday,2018,5,BLUESSTORY,USA,MVR,MVR_20180302_6,MVR_20180302_6_nan
37,MVR,2018-03-02,6,TB,5.0,0,D,0,M,CLM,NW2     Y,,,3U,0,10100,4000.0,4000.0,,,6,MY,L,3:05,,0,1,22.76,47.9,,,,61.39,32951,35.0,Mini Cosmo,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,0.5,3.0,162.75,5-4-3,5087.0,E,2.0,,23.2,3-1,28796.0,S,0.1,,10.92,3-1-8-2,13546.0,T,0.5,,21.8,3-1-8,20655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Muddy,Main Course,,3,Friday,2018,5,MINICOSMO,USA,MVR,MVR_20180302_6,MVR_20180302_6_nan
44,MVR,2018-03-02,7,TB,6.0,0,D,0,M,CLM,NW2     L,,B,3U,1,16700,7500.0,7500.0,,,10,MY,L,3:33,,0,1,24.15,49.26,62.75,,,75.84,52197,0.0,Honey Twists,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,E,2.0,,49.2,1-4,43410.0,S,0.1,,41.75,1-4-2-9,19160.0,T,0.5,,38.9,1-4-2,29699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,3 year olds & up,Stewards,Claiming,Dirt,Muddy,Main Course,,3,Friday,2018,5,HONEYTWISTS,USA,MVR,MVR_20180302_7,MVR_20180302_7_nan
0,OP,2018-03-02,1,TB,8.5,0,D,0,M,MCL,,,,3U,1,21000,12500.0,12500.0,,,11,GD,C,1:31,,0,0,23.54,48.23,74.17,101.87,,108.65,145751,60.0,Qaunico,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,E,1.0,,14.7,6-2,116697.0,S,0.1,,65.44,6-2-3-1,53228.0,T,0.5,,41.5,6-2-3,74106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,3 year olds & up,Stewards,Maiden Claiming,Dirt,Good,Main Course,,3,Friday,2018,5,QAUNICO,USA,OPX,OPX_20180302_1,OPX_20180302_1_nan
12,OP,2018-03-02,2,TB,6.0,0,D,0,M,CLM,NW3     L,,B,3U,0,23000,12500.0,12500.0,,,7,GD,C,1:58,,0,0,22.36,46.75,59.88,,,72.76,145587,80.0,Minnie Ruth,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,1.0,,5.7,6-3,47601.0,E,1.0,,40.0,3-2,101690.0,S,0.1,,99.73,3-2-7-4,40373.0,T,0.5,,143.7,3-2-7,61301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Clear,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Good,Main Course,,3,Friday,2018,5,MINNIERUTH,USA,OPX,OPX_20180302_2,OPX_20180302_2_nan
13,OP,2018-03-02,2,TB,6.0,0,D,0,M,CLM,NW3     L,,B,3U,0,23000,12500.0,12500.0,,,7,GD,C,1:58,,0,0,22.36,46.75,59.88,,,72.76,145587,80.0,Stay Spicy,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,1.0,,5.7,6-3,47601.0,E,1.0,,40.0,3-2,101690.0,S,0.1,,99.73,3-2-7-4,40373.0,T,0.5,,143.7,3-2-7,61301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Clear,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Good,Main Course,,3,Friday,2018,5,STAYSPICY,USA,OPX,OPX_20180302_2,OPX_20180302_2_nan
21,OP,2018-03-02,3,TB,6.0,0,D,0,M,CLM,NW2     L,,,3U,1,23000,16000.0,16000.0,,,11,GD,C,2:26,,0,0,22.52,47.41,60.38,,,73.01,160522,80.0,Alithia,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,E,1.0,,10.5,5-4,113508.0,S,0.1,,26.78,5-4-9-3,51465.0,T,0.5,,12.95,5-4-9,67492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,3 year olds & up,Vet,Claiming,Dirt,Good,Main Course,,3,Friday,2018,5,ALITHIA,USA,OPX,OPX_20180302_3,OPX_20180302_3_nan
43,OP,2018-03-02,5,TB,8.0,0,D,0,M,WCL,NW2     6MX,,,4U,0,34000,20000.0,17500.0,,,9,GD,C,3:22,,0,0,23.77,48.22,73.52,86.57,,99.22,167158,60.0,Boxer Boy,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,0.5,3.0,321.55,1/5-9-6,22013.0,E,1.0,,205.7,6-1,117658.0,S,0.1,,2049.75,6-1-9-5,45558.0,T,0.5,,540.8,6-1-9,74045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Trainer,,Dirt,Good,Main Course,,3,Friday,2018,5,BOXERBOY,USA,OPX,OPX_20180302_5,OPX_20180302_5_nan
44,OP,2018-03-02,5,TB,8.0,0,D,0,M,WCL,NW2     6MX,,,4U,0,34000,20000.0,17500.0,,,9,GD,C,3:22,,0,0,23.77,48.22,73.52,86.57,,99.22,167158,60.0,Glitnir,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,0.5,3.0,321.55,1/5-9-6,22013.0,E,1.0,,205.7,6-1,117658.0,S,0.1,,2049.75,6-1-9-5,45558.0,T,0.5,,540.8,6-1-9,74045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Trainer,,Dirt,Good,Main Course,,3,Friday,2018,5,GLITNIR,USA,OPX,OPX_20180302_5,OPX_20180302_5_nan
45,OP,2018-03-02,5,TB,8.0,0,D,0,M,WCL,NW2     6MX,,,4U,0,34000,20000.0,17500.0,,,9,GD,C,3:22,,0,0,23.77,48.22,73.52,86.57,,99.22,167158,60.0,Toasting Master,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,R,,,,,,3,0.5,3.0,321.55,1/5-9-6,22013.0,E,1.0,,205.7,6-1,117658.0,S,0.1,,2049.75,6-1-9-5,45558.0,T,0.5,,540.8,6-1-9,74045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Entered in another race,,Dirt,Good,Main Course,,3,Friday,2018,5,TOASTINGMASTER,USA,OPX,OPX_20180302_5,OPX_20180302_5_nan
55,OP,2018-03-02,6,TB,8.5,0,D,0,M,CLM,NW1     6MX,,,4U,0,20000,8000.0,8000.0,,,10,GD,C,3:53,,0,0,23.72,47.82,73.13,99.28,,106.22,155996,60.0,Dontsaymyname,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,0.5,3.0,554.8,9-6-9,17920.0,E,1.0,,29.1,9-5,120544.0,S,0.1,,174.59,9-5-10-1,49969.0,T,0.5,,51.0,9-5-10,75943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Good,Main Course,,3,Friday,2018,5,DONTSAYMYNAME,USA,OPX,OPX_20180302_6,OPX_20180302_6_nan
56,OP,2018-03-02,6,TB,8.5,0,D,0,M,CLM,NW1     6MX,,,4U,0,20000,8000.0,8000.0,,,10,GD,C,3:53,,0,0,23.72,47.82,73.13,99.28,,106.22,155996,60.0,Dowlingfourtyeight,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,R,,,,,,3,0.5,3.0,554.8,9-6-9,17920.0,E,1.0,,29.1,9-5,120544.0,S,0.1,,174.59,9-5-10-1,49969.0,T,0.5,,51.0,9-5-10,75943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,4 year olds & up,Entered in another race,Claiming,Dirt,Good,Main Course,,3,Friday,2018,5,DOWLINGFOURTYEIGHT,USA,OPX,OPX_20180302_6,OPX_20180302_6_nan
84,OP,2018-03-02,9,TB,6.0,0,D,0,M,MCL,,,,03,0,40000,50000.0,50000.0,,,9,FST,C,5:21,,0,0,22.13,46.15,58.97,,,72.28,199601,80.0,Song of the Nile,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,3,0.5,3.0,231.5,8-6-3/10,39452.0,4,0.5,4.0,1784.2,9-8-6-3/10,85846.0,5,0.5,4.0,1356.9,6-9-8-6-3/10,46378.0,D,1.0,,45.3,6-10,54610.0,E,1.0,,57.1,10-8,138746.0,S,0.1,,241.69,10-8-5-6,64206.0,T,0.5,,285.7,10-8-5,86406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Clear,No Medication,,Not graded,3 year olds,Trainer,Maiden Claiming,Dirt,Fast,Main Course,,3,Friday,2018,5,SONGOFTHENILE,USA,OPX,OPX_20180302_9,OPX_20180302_9_nan
0,SA,2018-03-02,1,TB,8.0,0,D,1,M,MSW,,,,4U,1,54000,,,,,5,WF,O,1:01,,0,1,23.4,45.95,70.46,83.48,,97.07,136385,172.0,Hailey's Kid Comet,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,E,1.0,,9.9,2-8,68386.0,S,1.0,,38.5,2-8-5-1,26712.0,T,0.5,,10.3,2-8-5,41976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Off Turf,Maiden Special Weight,Dirt,Wet-Fast,Main Course,,3,Friday,2018,5,HAILEYSKIDCOMET,USA,SAX,SAX_20180302_1,SAX_20180302_1_nan
1,SA,2018-03-02,1,TB,8.0,0,D,1,M,MSW,,,,4U,1,54000,,,,,5,WF,O,1:01,,0,1,23.4,45.95,70.46,83.48,,97.07,136385,172.0,Save Ground,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,E,1.0,,9.9,2-8,68386.0,S,1.0,,38.5,2-8-5-1,26712.0,T,0.5,,10.3,2-8-5,41976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Off Turf,Maiden Special Weight,Dirt,Wet-Fast,Main Course,,3,Friday,2018,5,SAVEGROUND,USA,SAX,SAX_20180302_1,SAX_20180302_1_nan
2,SA,2018-03-02,1,TB,8.0,0,D,1,M,MSW,,,,4U,1,54000,,,,,5,WF,O,1:01,,0,1,23.4,45.95,70.46,83.48,,97.07,136385,172.0,Tribute to Oscar,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,E,1.0,,9.9,2-8,68386.0,S,1.0,,38.5,2-8-5-1,26712.0,T,0.5,,10.3,2-8-5,41976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Vet,Maiden Special Weight,Dirt,Wet-Fast,Main Course,,3,Friday,2018,5,TRIBUTETOOSCAR,USA,SAX,SAX_20180302_1,SAX_20180302_1_nan
3,SA,2018-03-02,1,TB,8.0,0,D,1,M,MSW,,,,4U,1,54000,,,,,5,WF,O,1:01,,0,1,23.4,45.95,70.46,83.48,,97.07,136385,172.0,Wild Lando,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,O,,,,,,E,1.0,,9.9,2-8,68386.0,S,1.0,,38.5,2-8-5-1,26712.0,T,0.5,,10.3,2-8-5,41976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Off Turf,Maiden Special Weight,Dirt,Wet-Fast,Main Course,,3,Friday,2018,5,WILDLANDO,USA,SAX,SAX_20180302_1,SAX_20180302_1_nan
