,chart_file_sym,date,race_number,breed_code,distance,is_about_distance,surface_code,is_off_turf,course_type_code,race_type_code,race_conditions,race_name,sex_restriction_code,age_restriction_code,is_restricted_to_statebred,purse,max_claiming_price,min_claiming_price,grade_code,division,num_starters,track_condition_code,weather_code,post_time,temp_rail_dist,is_chute_start,is_track_sealed,race_f1_time,race_f2_time,race_f3_time,race_f4_time,race_f5_time,race_winning_time,wps_combined_pool,run_up_dist,horse_name,age,sex_code,medication_code,equipment_code,weight,claiming_price,earnings,program_number,coupled_type,morning_line,final_tote_odds,is_favorite,is_non_betting,payout_win,payout_place,payout_show,post_position,pos_call_start,pos_call_1,pos_call_2,pos_call_3,pos_call_4,pos_call_stretch,pos_call_finish,official_finish_position,call_1_lengths_behind,call_2_lengths_behind,call_3_lengths_behind,call_4_lengths_behind,stretch_call_lengths_behind,finish_lengths_behind,comment_line,trainer_first_name,trainer_middle_name,trainer_last_name,jockey_first_name,jockey_middle_name,jockey_last_name,apprentice_weight_allowance,owner_full_name,is_claimed,claiming_trainer_first_name,claiming_trainer_middle_name,claiming_trainer_last_name,claiming_owner_full_name,is_scratch,scratch_code,last_race_track,last_race_date,last_race_num,last_race_finish,long_comment,wager_type_1,wager_unit_1,wager_numright_1,wager_payout_1,wager_winningPGM_1,wager_pool_1,wager_type_2,wager_unit_2,wager_numright_2,wager_payout_2,wager_winningPGM_2,wager_pool_2,wager_type_3,wager_unit_3,wager_numright_3,wager_payout_3,wager_winningPGM_3,wager_pool_3,wager_type_4,wager_unit_4,wager_numright_4,wager_payout_4,wager_winningPGM_4,wager_pool_4,wager_type_5,wager_unit_5,wager_numright_5,wager_payout_5,wager_winningPGM_5,wager_pool_5,wager_type_6,wager_unit_6,wager_numright_6,wager_payout_6,wager_winningPGM_6,wager_pool_6,wager_type_7,wager_unit_7,wager_numright_7,wager_payout_7,wager_winningPGM_7,wager_pool_7,wager_type_8,wager_unit_8,wager_numright_8,wager_payout_8,wager_winningPGM_8,wager_pool_8,wager_type_9,wager_unit_9,wager_numright_9,wager_payout_9,wager_winningPGM_9,wager_pool_9,wager_type_10,wager_unit_10,wager_numright_10,wager_payout_10,wager_winningPGM_10,wager_pool_10,wager_type_11,wager_unit_11,wager_numright_11,wager_payout_11,wager_winningPGM_11,wager_pool_11,wager_type_12,wager_unit_12,wager_numright_12,wager_payout_12,wager_winningPGM_12,wager_pool_12,map_sex_restriction_code,map_breed_code,map_weather_code,map_medication_code,map_sex_code,map_grade_code,map_age_restriction_code,map_scratch_code,map_race_type_code,map_surface_code,map_track_condition_code,map_course_type_code,map_equipment_code,month,weekday,year,weeknum,x8name,x8country,x8_track_sym,race_id,runner_id
10,DED,2018-03-01,2,TB,8.0,0,D,0,M,CLM,NW2     L,,,4U,1,23000,5000.0,5000.0,,,8,FST,L,6:21,,0,0,23.57,48.66,74.67,,,101.74,62192,40.0,Holy Beau,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,1.0,,3.2,2-6,14489.0,E,1.0,,46.0,6-8,44293.0,S,0.1,,81.36,6-8-4-10,19531.0,T,0.5,,103.45,6-8-4,26861.0,Z,1.0,,1.5,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,HOLYBEAU,USA,DED,DED_20180301_2,DED_20180301_2_nan
11,DED,2018-03-01,2,TB,8.0,0,D,0,M,CLM,NW2     L,,,4U,1,23000,5000.0,5000.0,,,8,FST,L,6:21,,0,0,23.57,48.66,74.67,,,101.74,62192,40.0,Love That Brown,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,T,,,,,,D,1.0,,3.2,2-6,14489.0,E,1.0,,46.0,6-8,44293.0,S,0.1,,81.36,6-8-4-10,19531.0,T,0.5,,103.45,6-8-4,26861.0,Z,1.0,,1.5,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Trainer,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,LOVETHATBROWN,USA,DED,DED_20180301_2,DED_20180301_2_nan
20,DED,2018-03-01,3,TB,5.0,0,D,0,M,MCL,,,B,4U,1,23000,10000.0,10000.0,,,10,FST,L,6:50,,0,0,22.93,47.84,,,,60.88,40962,40.0,Juanita's Orthodox,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,3,0.5,3.0,8.5,2-6-2,8579.0,D,1.0,,10.0,6-2,3163.0,E,1.0,,27.0,2-6,32150.0,M,0.5,3.0,3.8,2-3-2,,S,0.1,,201.58,2-6-5-7,19360.0,T,0.5,,123.05,2-6-5,24242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Maiden Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,JUANITASORTHODOX,USA,DED,DED_20180301_3,DED_20180301_3_nan
21,DED,2018-03-01,3,TB,5.0,0,D,0,M,MCL,,,B,4U,1,23000,10000.0,10000.0,,,10,FST,L,6:50,,0,0,22.93,47.84,,,,60.88,40962,40.0,Sashay Gal,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,3,0.5,3.0,8.5,2-6-2,8579.0,D,1.0,,10.0,6-2,3163.0,E,1.0,,27.0,2-6,32150.0,M,0.5,3.0,3.8,2-3-2,,S,0.1,,201.58,2-6-5-7,19360.0,T,0.5,,123.05,2-6-5,24242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Maiden Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,SASHAYGAL,USA,DED,DED_20180301_3,DED_20180301_3_nan
32,DED,2018-03-01,4,TB,8.0,0,D,0,M,CLM,NW4     L,,,4U,0,21000,5000.0,5000.0,,,9,FST,L,7:19,,0,0,23.49,48.45,73.99,,,102.48,55464,40.0,Boston Bob,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,3,0.5,3.0,28.6,6-2-9,7491.0,4,0.5,4.0,32.65,2/6-3/5/6/9/12-2-9,39055.0,D,1.0,,23.6,2-9,2434.0,E,1.0,,24.2,9-3,40599.0,M,0.5,3.0,5.3,6-2-7,,S,0.1,,44.44,9-3-2-6,21480.0,T,0.5,,56.0,9-3-2,28789.0,Z,1.0,,4.9,2-7,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,BOSTONBOB,USA,DED,DED_20180301_4,DED_20180301_4_nan
33,DED,2018-03-01,4,TB,8.0,0,D,0,M,CLM,NW4     L,,,4U,0,21000,5000.0,5000.0,,,9,FST,L,7:19,,0,0,23.49,48.45,73.99,,,102.48,55464,40.0,Mr. Graceful,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,3,0.5,3.0,28.6,6-2-9,7491.0,4,0.5,4.0,32.65,2/6-3/5/6/9/12-2-9,39055.0,D,1.0,,23.6,2-9,2434.0,E,1.0,,24.2,9-3,40599.0,M,0.5,3.0,5.3,6-2-7,,S,0.1,,44.44,9-3-2-6,21480.0,T,0.5,,56.0,9-3-2,28789.0,Z,1.0,,4.9,2-7,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,MR.GRACEFUL,USA,DED,DED_20180301_4,DED_20180301_4_nan
34,DED,2018-03-01,4,TB,8.0,0,D,0,M,CLM,NW4     L,,,4U,0,21000,5000.0,5000.0,,,9,FST,L,7:19,,0,0,23.49,48.45,73.99,,,102.48,55464,40.0,Orthodox River,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,3,0.5,3.0,28.6,6-2-9,7491.0,4,0.5,4.0,32.65,2/6-3/5/6/9/12-2-9,39055.0,D,1.0,,23.6,2-9,2434.0,E,1.0,,24.2,9-3,40599.0,M,0.5,3.0,5.3,6-2-7,,S,0.1,,44.44,9-3-2-6,21480.0,T,0.5,,56.0,9-3-2,28789.0,Z,1.0,,4.9,2-7,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,ORTHODOXRIVER,USA,DED,DED_20180301_4,DED_20180301_4_nan
44,DED,2018-03-01,5,TB,5.0,0,D,0,M,CLM,NW3     L,,,4U,0,27000,20000.0,15000.0,,,9,FST,L,7:46,,0,0,21.88,45.48,,,,58.5,66600,40.0,Fire Blaster,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,3,0.5,3.0,27.05,2-9-10,5650.0,D,1.0,,11.3,9-10,4498.0,E,1.0,,8.3,10-4,55176.0,M,0.5,3.0,5.65,2-7-10,,S,0.1,,20.95,10-4-6-3,25904.0,T,0.5,,32.9,10-4-6,37996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,FIREBLASTER,USA,DED,DED_20180301_5,DED_20180301_5_nan
45,DED,2018-03-01,5,TB,5.0,0,D,0,M,CLM,NW3     L,,,4U,0,27000,20000.0,15000.0,,,9,FST,L,7:46,,0,0,21.88,45.48,,,,58.5,66600,40.0,Start a War,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,0.5,3.0,27.05,2-9-10,5650.0,D,1.0,,11.3,9-10,4498.0,E,1.0,,8.3,10-4,55176.0,M,0.5,3.0,5.65,2-7-10,,S,0.1,,20.95,10-4-6-3,25904.0,T,0.5,,32.9,10-4-6,37996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,STARTAWAR,USA,DED,DED_20180301_5,DED_20180301_5_nan
55,DED,2018-03-01,6,TB,7.0,0,D,0,M,CLM,NW1     6M,,,4U,0,20000,4000.0,4000.0,,,8,FST,L,8:13,,0,0,23.5,47.93,73.86,,,87.57,46008,40.0,Cactus Son,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,3,0.5,3.0,17.1,9-10-5,10142.0,D,1.0,,7.5,10-5,5003.0,E,1.0,,12.5,5-9,31655.0,S,0.1,,23.51,5-9-2-10,16042.0,T,0.5,,38.2,5-9-2,21623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,CACTUSSON,USA,DED,DED_20180301_6,DED_20180301_6_nan
