race_id,EX_payout,runner_program_number_pp,x8is_exacta,official_finish_position,prob_x8runner_HDWPSRRating_norm_par
APX_20160703_7,11.2,1,1.0,1.0,0.19146792197790297
APX_20160703_7,11.2,8,1.0,2.0,0.17229944628913746
APX_20160703_7,11.2,4,0.0,3.0,0.12375841514625115
APX_20160703_7,11.2,5,0.0,4.0,0.09802156911207256
APX_20160703_7,11.2,10,0.0,5.0,3.0274449186053884e-05
APX_20160703_7,11.2,2,,,0.08689515707110983
APX_20160703_7,11.2,3,,,0.12375841514625116
APX_20160703_7,11.2,6,,,0.029978486665869254
APX_20160703_7,11.2,7,,,0.08689515707110983
APX_20160703_7,11.2,9,,,0.08689515707110983
APX_20160703_8,15.6,7,1.0,1.0,0.46164671456935075
APX_20160703_8,15.6,8,1.0,2.0,0.09081926026796053
APX_20160703_8,15.6,3,0.0,3.0,0.09081926026796053
APX_20160703_8,15.6,5,0.0,4.0,0.11203855651830381
APX_20160703_8,15.6,4,0.0,5.0,0.01633729800728062
APX_20160703_8,15.6,1,0.0,6.0,0.00040144255805821136
APX_20160703_8,15.6,2,0.0,7.0,0.09081926026796053
APX_20160703_8,15.6,6,,,0.13711820754312487
ARP_20160703_3,28.5,5,1.0,1.0,0.023771137140150625
ARP_20160703_3,28.5,6,1.0,2.0,0.09455555139523868
ARP_20160703_3,28.5,11,0.0,3.0,0.02377113714015063
ARP_20160703_3,28.5,2,0.0,4.0,0.6909467604400207
ARP_20160703_3,28.5,4,0.0,6.0,0.0013705724196597842
ARP_20160703_3,28.5,9,0.0,7.0,0.06571178020177096
ARP_20160703_3,28.5,1,0.0,8.0,0.009343830577734562
ARP_20160703_3,28.5,7,0.0,9.0,0.054297049863050485
ARP_20160703_3,28.5,8,0.0,10.0,0.023771137140150625
ARP_20160703_3,28.5,10,0.0,11.0,0.000534497959176846
ARP_20160703_3,28.5,3,0.0,12.0,0.011926545722896085
ARP_20160703_5,13.1,4,1.0,1.0,0.05389158204962906
ARP_20160703_5,13.1,9,1.0,2.0,0.37822016422177446
